Bacia;Estação Fluviométrica;Período de Calibração;Período de Validação
CAPIBARIBE;Engenho Sítio;01/04/67 a 12/01/85;31/01/85 a 31/12/1992
CAPIBARIBE;Engenho Sítio (c.);01/04/73 a 11/04/85;12/04/85 a 31/12/1992
CAPIBARIBE;Limoeiro;01/02/73 a 05/07/80;06/07/80 a 28/02/2023
CAPIBARIBE;Limoeiro (c.);01/02/73 a 06/08/80;07/08/80 a 28/02/2023
CAPIBARIBE;Limoeiro (r.);01/02/73 a 02/11/80;03/11/80 a 31/12/1998
CAPIBARIBE;Limoeiro (c. r.);01/02/73 a 21/12/76;22/12/76 a 31/12/1998
CAPIBARIBE;Paudalho;01/08/66 a 05/07/83;06/07/83 a 31/01/2023
CAPIBARIBE;Paudalho (c.);01/08/66 a 14/07/83;15/07/83 a 31/01/2023
CAPIBARIBE;Paudalho (r.);01/08/66 a 16/10/72;17/10/72 a 31/12/1978
CAPIBARIBE;Paudalho (c. r.);01/08/66 a 13/01/74;14/01/74 a 31/12/1978
CAPIBARIBE;Salgadinho;01/08/66 a 07/02/09;08/02/09 a 28/02/2023
CAPIBARIBE;Salgadinho (c.);01/08/66 a 25/01/75;26/01/75 a 28/02/2023
CAPIBARIBE;Salgadinho (r.);01/08/66 a 13/11/84;14/11/84 a 31/12/1998
CAPIBARIBE;Salgadinho (c. r.);01/08/66 a 08/09/74;09/09/74 a 31/12/1998
CAPIBARIBE;Santa Cruz;01/04/86 a 06/11/06;07/11/06 a 31/01/2023
CAPIBARIBE;Santa Cruz (c.);01/04/86 a 08/05/08;09/05/08 a 31/01/2023
CAPIBARIBE;S. L. da Mata II;01/01/90 a 13/01/03;14/01/03 a 30/09/2022
CAPIBARIBE;S. L. da Mata II (c.);01/01/90 a 06/02/03;07/02/03 a 30/09/2022
CAPIBARIBE;Toritama;01/01/73 a 24/09/80;25/09/80 a 31/01/2023
CAPIBARIBE;Toritama (c.);01/01/73 a 06/07/80;07/07/80 a 31/01/2023
CAPIBARIBE;Toritama (r.);01/01/73 a 09/03/77;10/03/77 a 31/12/1987
CAPIBARIBE;Toritama (c. r.);01/01/73 a 02/07/80;03/07/80 a 31/12/1987
CAPIBARIBE;Vitória de S.A.;08/04/67 a 25/10/85;26/10/85 a 31/12/2022
CAPIBARIBE;Vitória de S.A. (c.);08/04/67 a 14/03/81;15/03/81 a 31/12/2022
PAJEÚ;Afogados;01/01/85 a 03/03/02;04/03/02 a 31/07/2011
PAJEÚ;Flores;01/01/73 a 04/07/82;05/07/82 a 28/02/2023
PAJEÚ;Flores (r.);01/01/73 a 03/02/76;04/02/76 a 31/12/1985
PAJEÚ;Floresta;01/04/72 a 11/11/79;12/11/79 a 28/02/2023
PAJEÚ;Floresta (r.);01/04/72 a 18/12/74;18/08/79 a 31/12/1996
PAJEÚ;Ilha Grande;01/04/72 a 17/08/79 01/03/73 a 19/04/00;20/04/00 a 31/01/2023
PAJEÚ;Ilha Grande (r.);01/03/73 a 19/11/78;20/11/78 a 31/05/1982
PAJEÚ;Serra Talhada;01/04/72 a 11/11/79;12/11/79 a 28/02/2023
PAJEÚ;Serra Talhada (r.);01/04/72 a 18/12/74;19/12/74 a 31/12/1985
BRÍGIDA;Poço do Fumo;01/01/85 a 03/10/02;04/10/02 a 30/11/2008
BRÍGIDA;Poço do Fumo (r.);01/01/85 a 01/01/89;02/01/89 a 30/04/1991
METROPOLITANA;Araçoiaba;01/05/84 a 19/08/06;20/08/06 a 30/06/2021
METROPOLITANA;Chorozinho;03/05/69 a 12/06/81;13/06/81 a 20/05/1994
BANABUIÚ;Morada Nova;26/03/73 a 18/03/07;19/03/07 a 30/06/2021
BANABUIÚ;Quixeramobim;01/01/73 a 13/12/06;14/12/06 a 29/06/2021
BANABUIÚ;Senador Pompeu;01/02/73 a 17/04/97;18/04/97 a 30/06/2021
CURU;Paracuru;01/01/73 a 13/12/06;14/12/06 a 30/06/2021